VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
87,Friday,7106841012,1,FROZEN FOODS,4063
361,Friday,67278778969,1,MENS WEAR,1605
385,Friday,2840007165,1,DSD GROCERY,4551
413,Friday,2200000488,1,IMPULSE MERCHANDISE,135
462,Friday,72821334596,1,PLUS AND MATERNITY,744
943,Friday,8.80619E+11,1,LADIESWEAR,301
1021,Friday,4150074510,1,GROCERY DRY GOODS,2339
1117,Friday,20108700000,1,SERVICE DELI,8014
1184,Friday,2430083546,1,COMM BREAD,2286
1187,Friday,4060034500,1,DAIRY,1252
1187,Friday,4011,1,PRODUCE,5501
1381,Friday,3151,1,PRODUCE,7801
1673,Friday,20108800000,1,SERVICE DELI,8014
1720,Friday,7790049160,2,FROZEN FOODS,1204
1723,Friday,4393558913,1,MENS WEAR,5542
1723,Friday,7533850518,1,MENS WEAR,5203
1895,Friday,5000016011,1,GROCERY DRY GOODS,3251
1966,Friday,1600027578,1,GROCERY DRY GOODS,3555
1992,Friday,60538818696,1,DAIRY,7983
1992,Friday,4856406002,1,COMM BREAD,3729
2001,Friday,3700039316,1,PERSONAL CARE,3158
2037,Friday,4011,1,PRODUCE,5501
2070,Friday,3338311000,1,PRODUCE,109
2078,Friday,980000761,1,IMPULSE MERCHANDISE,145
2078,Friday,4011,1,PRODUCE,5501
2078,Friday,4750248151,1,DAIRY,1354
2232,Friday,64600767630,1,BRAS & SHAPEWEAR,208
2270,Friday,2840033579,1,DSD GROCERY,8251
2338,Friday,7046200105,1,"CANDY, TOBACCO, COOKIES",707
2394,Friday,25495400000,1,BAKERY,8040
2424,Friday,5300004885,1,DAIRY,7955
2424,Friday,2840004179,1,IMPULSE MERCHANDISE,807
2626,Friday,2560000227,1,COMM BREAD,3705
2679,Friday,60538871457,1,DAIRY,9100
2691,Friday,20966500000,1,SERVICE DELI,7010
2745,Friday,8.80619E+11,1,LADIESWEAR,301
2881,Friday,4460008033,1,HOUSEHOLD CHEMICALS/SUPP,5510
2881,Friday,3663202809,1,DAIRY,1443
2895,Friday,3940001594,1,GROCERY DRY GOODS,2828
2938,Friday,7464102712,1,PRODUCE,5906
3229,Friday,20108800000,1,SERVICE DELI,8014
3380,Friday,68113106756,1,SERVICE DELI,4010
3475,Friday,4650071689,1,HOUSEHOLD CHEMICALS/SUPP,1555
3511,Friday,88295697387,1,MENS WEAR,2514
3511,Friday,3400000847,1,IMPULSE MERCHANDISE,135
3650,Friday,4900003165,1,DSD GROCERY,9205
3650,Friday,7047044616,1,DAIRY,1450
3651,Friday,1910010993,1,BEAUTY,4010
3676,Friday,20108700000,1,SERVICE DELI,8014
3687,Friday,1150906508,1,PERSONAL CARE,702
3687,Friday,68113106044,1,PHARMACY OTC,5603
3711,Friday,8000051306,2,GROCERY DRY GOODS,2906
