TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
7,20,Friday,7192191720.0,1,FROZEN FOODS,9117.0
7,20,Friday,68113106754.0,2,SERVICE DELI,4010.0
25,28,Friday,880552000000.0,1,LADIESWEAR,313.0
25,28,Friday,80859474194.0,1,LADIESWEAR,4447.0
25,28,Friday,4900003661.0,1,DSD GROCERY,9538.0
25,28,Friday,9933894190.0,1,LADIESWEAR,1180.0
25,28,Friday,2430004350.0,1,COMM BREAD,3709.0
25,28,Friday,7874298806.0,1,BAKERY,2010.0
25,28,Friday,7874298808.0,1,BAKERY,2010.0
25,28,Friday,4900001463.0,1,DSD GROCERY,9538.0
38,43,Friday,7874235186.0,1,DAIRY,1508.0
38,43,Friday,2610000575.0,1,"CANDY, TOBACCO, COOKIES",8012.0
38,43,Friday,3800057608.0,1,GROCERY DRY GOODS,3600.0
38,43,Friday,7962160010.0,1,PRE PACKED DELI,7204.0
7,72,Friday,1200000131.0,1,DSD GROCERY,9547.0
7,72,Friday,22495500000.0,1,SERVICE DELI,4041.0
7,72,Friday,2840043618.0,1,IMPULSE MERCHANDISE,808.0
7,76,Friday,1312001036.0,1,FROZEN FOODS,1801.0
7,76,Friday,7539100261.0,1,SEAFOOD,1053.0
7,76,Friday,68113132894.0,1,PRODUCE,7002.0
7,76,Friday,3151.0,1,PRODUCE,7801.0
38,97,Friday,2100060847.0,1,DAIRY,7957.0
38,97,Friday,2700031150.0,1,DAIRY,1221.0
38,97,Friday,7874235187.0,1,DAIRY,1508.0
38,97,Friday,7225003706.0,2,COMM BREAD,3702.0
38,97,Friday,5200013226.0,1,DSD GROCERY,4606.0
38,97,Friday,3800059655.0,1,GROCERY DRY GOODS,3600.0
38,97,Friday,5210009004.0,1,GROCERY DRY GOODS,4250.0
38,97,Friday,7874235190.0,1,DAIRY,1406.0
38,97,Friday,4133112420.0,1,GROCERY DRY GOODS,4290.0
38,97,Friday,4812127707.0,1,COMM BREAD,3719.0
38,97,Friday,5150000693.0,1,GROCERY DRY GOODS,2601.0
38,97,Friday,5210009003.0,1,GROCERY DRY GOODS,4250.0
38,97,Friday,4133112466.0,1,GROCERY DRY GOODS,4290.0
7,137,Friday,7682804668.0,1,PERSONAL CARE,9110.0
7,137,Friday,22813300000.0,1,SERVICE DELI,4041.0
7,199,Friday,60538871457.0,1,DAIRY,9100.0
7,199,Friday,4138309073.0,-1,DAIRY,1505.0
7,199,Friday,4138309073.0,2,DAIRY,1505.0
7,199,Friday,3800039122.0,1,GROCERY DRY GOODS,3600.0
7,199,Friday,22555500000.0,1,MEAT - FRESH & FROZEN,1301.0
38,210,Friday,60538871457.0,1,DAIRY,9100.0
38,210,Friday,2200012000.0,-1,"CANDY, TOBACCO, COOKIES",221.0
38,210,Friday,1600027532.0,1,GROCERY DRY GOODS,3600.0
38,210,Friday,1800073412.0,1,FROZEN FOODS,2010.0
38,210,Friday,7229004037.0,1,FROZEN FOODS,1204.0
38,210,Friday,3700086775.0,1,HOUSEHOLD PAPER GOODS,3050.0
38,210,Friday,3800057636.0,1,GROCERY DRY GOODS,3559.0
38,210,Friday,7229000000.0,1,PRE PACKED DELI,7301.0
38,210,Friday,2200012000.0,1,"CANDY, TOBACCO, COOKIES",221.0
38,210,Friday,3700086740.0,1,HOUSEHOLD CHEMICALS/SUPP,2041.0
38,210,Friday,3320000099.0,1,HOUSEHOLD CHEMICALS/SUPP,745.0
38,216,Friday,7602000812.0,1,PRE PACKED DELI,7803.0
38,216,Friday,2550020188.0,1,GROCERY DRY GOODS,3304.0
38,216,Friday,1420008453.0,1,"CANDY, TOBACCO, COOKIES",19.0
38,216,Friday,2500000069.0,1,DAIRY,1346.0
38,216,Friday,4050.0,1,PRODUCE,6501.0
38,216,Friday,2900000856.0,1,DAIRY,1251.0
25,275,Friday,880552000000.0,1,LADIESWEAR,3120.0
25,275,Friday,2800008040.0,1,"CANDY, TOBACCO, COOKIES",521.0
25,275,Friday,7989602488.0,1,PERSONAL CARE,9107.0
25,275,Friday,88595461549.0,1,TOYS,1209.0
25,275,Friday,880938000000.0,1,LADIESWEAR,1217.0
25,275,Friday,7001118223.0,1,LADIES SOCKS,3052.0
7,302,Friday,4011.0,1,PRODUCE,5501.0
7,302,Friday,7874298209.0,1,BAKERY,5017.0
7,302,Friday,8774506289.0,1,BAKERY,5018.0
7,302,Friday,7341000026.0,2,COMM BREAD,3761.0
7,302,Friday,4046.0,1,PRODUCE,5620.0
7,302,Friday,3151.0,1,PRODUCE,7801.0
7,302,Friday,1410007467.0,2,COMM BREAD,3762.0
7,308,Friday,3800076611.0,1,GROCERY DRY GOODS,3504.0
7,308,Friday,20919800000.0,1,SERVICE DELI,8150.0
7,308,Friday,68113191745.0,1,SERVICE DELI,4031.0
25,361,Friday,88743956739.0,1,MENS WEAR,3220.0
25,361,Friday,5330007313.0,1,MENS WEAR,2109.0
25,361,Friday,7160305582.0,1,BEAUTY,3509.0
25,361,Friday,68113131249.0,1,PHARMACY OTC,601.0
38,385,Friday,3000031836.0,1,GROCERY DRY GOODS,3505.0
38,385,Friday,64901075190.0,1,PERSONAL CARE,6113.0
38,385,Friday,7464102712.0,1,PRODUCE,5906.0
38,385,Friday,67604560878.0,1,BEAUTY,3848.0
38,385,Friday,2840019998.0,1,DSD GROCERY,9251.0
38,385,Friday,94011.0,2,PRODUCE,5504.0
38,385,Friday,7572406105.0,1,PERSONAL CARE,6105.0
38,385,Friday,3000031753.0,2,GROCERY DRY GOODS,3600.0
38,385,Friday,1480064657.0,1,DSD GROCERY,4644.0
38,385,Friday,4850002104.0,1,DAIRY,1407.0
38,385,Friday,4011.0,2,PRODUCE,5501.0
38,385,Friday,88491200245.0,1,GROCERY DRY GOODS,3600.0
38,385,Friday,4400003327.0,1,DSD GROCERY,2758.0
38,385,Friday,8768400512.0,1,DSD GROCERY,4624.0
38,385,Friday,78035378403.0,2,PRODUCE,3601.0
38,385,Friday,3800039122.0,1,GROCERY DRY GOODS,3600.0
38,385,Friday,2840019078.0,2,DSD GROCERY,7902.0
38,385,Friday,2840020129.0,1,DSD GROCERY,9251.0
38,385,Friday,1600043471.0,1,GROCERY DRY GOODS,3600.0
38,385,Friday,7874235187.0,2,DAIRY,1508.0
38,385,Friday,1480064608.0,1,DSD GROCERY,4644.0
38,385,Friday,84747300386.0,1,PRODUCE,1260.0
38,385,Friday,7615033230.0,1,DSD GROCERY,3650.0
25,387,Friday,1467182687.0,1,BRAS & SHAPEWEAR,1202.0
25,387,Friday,8022545737.0,1,BRAS & SHAPEWEAR,1201.0
25,387,Friday,4321367083.0,1,SLEEPWEAR/FOUNDATIONS,6048.0
25,387,Friday,60892603071.0,1,BRAS & SHAPEWEAR,7022.0
25,387,Friday,31254749318.0,1,PERSONAL CARE,9109.0
